"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148210522&doi=10.15055%2f00007913&partnerID=40&md5=7dd9cbae34babf68c4952638c0e57c1e","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127054833&doi=10.1080%2f15570274.2022.2031056&partnerID=40&md5=e0f5984865121219340af096194037c6","Centre for Multidisciplinary Research on Religion and Society, Uppsala University, Sweden","Gustaf Forsell; Uppsala Universitet; Templeton Religion Trust","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983579887&doi=10.1002%2f9781444317190&partnerID=40&md5=0a4ab5d76d0240f95e7e587c5c8d8999","","","English"
"2005","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60950268177&partnerID=40&md5=49bcb6f05a804ba6548b50ee864ef81e","Department of Religious Studies, Japan Women's University","","English"
"1989","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950947640&doi=10.1080%2f09555808908721356&partnerID=40&md5=4a712c4b9bbc2f9ede4ff7e20cc7c8ab","","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049966565&doi=10.4324%2f9781315111063&partnerID=40&md5=4001026d6beed2c80e9f891097b9222a","","","English"
"2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920433754&doi=10.4324%2f9780203084861&partnerID=40&md5=51289ed10352dcb1200b3f6117264b9e","University of Otago, New Zealand","","English"
"2013","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886351634&doi=10.1002%2f9781118529911.ch16&partnerID=40&md5=225c2d91ad46f34e0edf2e614c146369","University of Lund, Sweden","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149343981&doi=10.1002%2f9781119424420.ch19&partnerID=40&md5=e6d5d6a4446933ed4680b1125011d540","University of Leeds, United Kingdom","","English"
"1996","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745945010&doi=10.1080%2f0034408960910207&partnerID=40&md5=5d983c0d4c2c35cfeff04b98c7870ad0","Toyosawa Church","","English"
"2010","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955502662&doi=10.18874%2fjjrs.37.1.2010.47-74&partnerID=40&md5=2a5ccc064eba8bb6ceff3b1967681be0","Organization for the Advancement of Research and Development, Kokugakuin University, Japan","","English"
"2011","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455189304&doi=10.4000%2fetudesafricaines.16839&partnerID=40&md5=70fdfcc199dd0f82b513a3e96471850e","Centre D'Études Africaines, UMR 194, EHESS-IRD, France","","French"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064977137&doi=10.1163%2f15685276-12341537&partnerID=40&md5=ce66af6a7bac4faa79c1dc35718cddd2","Nanzan Institute for Religion and Culture, Nanzan University, Japan","","English"
"2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865836769&doi=10.1353%2fmni.2012.0015&partnerID=40&md5=96666bfd839b3fdf5bc44b598f496e82","","","English"
"1995","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748610367&doi=10.1006%2freli.1995.0021&partnerID=40&md5=42cd8c462f603f1e7280798c995c9391","Study of Religions Dept, Bath College of HE, Bath, BA2 9BN, Newton Park, United Kingdom","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068062227&doi=10.1163%2f22118349-00703010&partnerID=40&md5=7fc0c55080ec45ab2428bf2c068b2078","Bucknell University, Lewisburg, PA, United States; University of Arizona, Tucson, United States","","English"
"2007","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347386733&doi=10.1163%2f146481707793646656&partnerID=40&md5=b8cd600ff782e35b5975052d78c7a21a","Hokkai-Gakuen University, Sapporo, Japan","","English"
"2007","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68949112267&doi=10.1093%2facprof%3aoso%2f9780195176452.003.0010&partnerID=40&md5=fd576c6861527336b03ac1f785a07e3c","Department of Theology and Religious Studies, University of San Francisco, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118824815&doi=10.3390%2frel12100884&partnerID=40&md5=d7971fd5df60bf78103f342aa987887f","Institute of Buddhist Studies, Graduate Theological Union, Berkeley, 94709, CA, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122782928&doi=10.15407%2fskhodoznavstvo2021.88.157&partnerID=40&md5=740939fe6540be4c9b166b26b2948727","A. Yu. Krymskyi Institute of Oriental Studies, NAS of Ukraine, 4, Hrushevskoho Str, Kyiv, 01001, Ukraine","","Ukrainian"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123254541&doi=10.3390%2frel13020093&partnerID=40&md5=cd397e5385fc040db4a01b8bf1a708d9","Department of Foreign Languages, Faculty of Language and Literature, Bunkyo University, Koshigaya City, 343-8511, Japan","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096832253&doi=10.1017%2fS1755048320000619&partnerID=40&md5=43c27423d1fe8609ed1b7f4303189e85","University of North Texas","","English"
"2007","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61149539688&doi=10.1080%2f01416200601037494&partnerID=40&md5=1b69c6641d3b84d9bfe106c0edf4cccf","Taisho University, Japan; Taisho University, Toshima, Tokyo 170-8470, Nishisugamo 3-20-1, Japan","","English"
"2010","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953150944&doi=10.1353%2fsof.2010.0049&partnerID=40&md5=792709f7b7c9bf91118a4e302e905a80","Department of Philosophy and Religious Studies, NQ211, Ball State University, Muncie, IN 47306, United States","Society for the Scientific Study of Religion; National Science Foundation, NSF, (0727088); University of Texas at Austin; Religious Research Association, RRA","English"
"2021","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130329874&doi=10.1163%2f22118349-20210001&partnerID=40&md5=0ccaa62b148ff205f09ab98ccc39c445","Harvard University, Cambridge, MA, United States","Medical Research Council, MRC, (MC_U137686850)","English"
"2010","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883021666&partnerID=40&md5=5f56bf79506f58bd95e1a8501285d0f3","Graduate School of Humanities and Social Sciences, University of Tsukuba, Japan","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939812775&doi=10.1163%2f22118349-00301002&partnerID=40&md5=a9ecfa0af5fa2565321a0378d6a03898","Shimane University, Matsue, and the Osaka Institute of Technology, Osaka, Japan","","English"
"2004","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60950238980&doi=10.18874%2fjjrs.31.2.2004.389-415&partnerID=40&md5=ff6175c6f649feb5abfb1af367065e85","Reischauer Institute, Department of Japanese Religions and Society, Harvard University","","English"
"2021","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099282825&doi=10.3390%2frel12010019&partnerID=40&md5=e539bf21a7d74246ca5ccc338edb243b","Graduate School of International Media, Communication, and Tourism Studies, Hokkaido University, Sapporo, 060-0817, Japan","Hokkaido University, HU","English"
"1962","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861107463&doi=10.1163%2f156852762X00143&partnerID=40&md5=5a6e8cfdf326f9d7950e3a38403b14c3","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145484677&doi=10.6092%2fissn.2036-1602%2f14753&partnerID=40&md5=5ff287a460fe0b246076bb4562fb63d5","Temple University, United States","","English"
"2014","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939639956&doi=10.1163%2f22118349-00302008&partnerID=40&md5=71a952a4d9f0b9905e56d1786a02bb0b","Center of Study for Alternative Religions in Brazil (CERAL), Pontifical University of São Paulo, São Paulo, Brazil","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104709500&doi=10.46586%2fER.12.2021.8800&partnerID=40&md5=8325e2364fdf2ae4fdf1d3bdb4dae7ff","Ruhr-Universität Bochum, Germany","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125727264&doi=10.25024%2freview.2020.23.1.211&partnerID=40&md5=77538a134c89fd45c866a598ba860a17","School of History, Australian National University (ANU), Canberra, Australia; College of General Education, Kookmin University, South Korea","","English"
"2021","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100154538&doi=10.1080%2f02757206.2021.1881081&partnerID=40&md5=36f4ab8e362fba4e4e4b2dfa04292bef","Religious Studies, McMaster University, Hamilton, Canada","","English"
"2002","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60949617014&partnerID=40&md5=9ae1e7317d9f628088416a1a866955f9","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137753063&doi=10.1080%2f13537903.2022.2099084&partnerID=40&md5=49d9a86bf1afa0fd7ff760338f3e2999","Department of Philosophy and Commonwealth Center for the Humanities and Society, University of Louisville, 408 Stevenson Hall, Louisville, 40292, KY, United States","","English"
"2016","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026472996&doi=10.1007%2f978-981-10-2395-8_2&partnerID=40&md5=98949df805b56246088bef740c69993a","Osnabrueck University, Osnabrueck, Germany","","English"
"2020","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091378161&doi=10.1558%2fjsrnc.39187&partnerID=40&md5=5d70c1e52a48cf50e7ac845d943eb895","Institute of Cognitive and Evolutionary Anthropology, University of Oxford, Oxford, OX2 6PN, United Kingdom; Department of Psychology, Rikkyo University, Japan; Centre for Research in Psychology, Behaviour and Achievement Coventry University, Priory Street, Coventry, CV1 5FB, United Kingdom","Horizon 2020 Framework Programme, H2020, (694986); European Research Council, ERC; Horizon 2020","English"
"2019","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068830784&doi=10.3390%2frel10060377&partnerID=40&md5=55e199afd33da29585999c51bd32a050","School of Human Sciences, Osaka University, Osaka, 565-0871, Japan","Japan Society for the Promotion of Science, JSPS, (16K040640)","English"
"1990","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11744341430&doi=10.1080%2f0305724900190303&partnerID=40&md5=f28c1d266c6d1e754d457b9a3f246f6a","Professor and Chancellor, Sophia University, Chiyoda-ku, Tokyo 102, 7-1, Kioicho, Japan","","English"
"2003","58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071118929&doi=10.4324%2f9780203220252&partnerID=40&md5=4d13e19a3fa0fd60ea5110a2a0b70ad1","University of Oslo, Norway; Department of Cultural Studies, Sapporo University, Japan","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077869858&doi=10.35469%2fpoligrafi.2019.193&partnerID=40&md5=92a5c4dd2d35d6a269e8bdca29a3d7fd","","Asian languages and Cultures, (P6-0243); Javna Agencija za Raziskovalno Dejavnost RS, ARRS, (2018-2021)","English"
"2003","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071143308&doi=10.4324%2f9780203220252-8&partnerID=40&md5=f1956464dea28a6e7df39369920a2f9b","University of Oslo, Norway; Department of Cultural Studies, Sapporo University, Japan","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140824153&doi=10.3167%2fcs.2022.340407&partnerID=40&md5=597693d783930a566eeb199a96789513","English Literature, Kwansei Gakuin University, Japan","","English"
"2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048876119&doi=10.1163%2f22118349-00603005&partnerID=40&md5=c909f02db763f62caab2f01d5f2b836e","St. Lawrence University, Canton, United States","","English"
"2010","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551517827&doi=10.18874%2fjjrs.37.2.2010.295-315&partnerID=40&md5=0f5a9be7d52564ec2b75a026bb0bec0e","London University, Nichibunken, Kyoto, Japan","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128612811&doi=10.1353%2fjkr.2021.0007&partnerID=40&md5=118a281196b8ed788181b3ec4060258d","The Department of Asian Studies, The University of British Columbia, Canada","","English"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968791315&partnerID=40&md5=9702019f2740c1e5164d2b16ebfbde9e","","","English"
"2016","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957440122&doi=10.1080%2f0048721X.2015.1030796&partnerID=40&md5=c87418af2bad214a8e5c48588fbc49ca","Institute of Religious Studies, University of Vienna, Schenkenstraße 8-10, Vienna, Austria","","English"
"1999","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032697210&doi=10.1017%2fS0026749X99003698&partnerID=40&md5=3d119783cb260264e4069c9fa50ef223","University of Texas, Austin, TX, United States","","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952222952&doi=10.1086%2f656610&partnerID=40&md5=c8c71bdeb9c73489aea5ffe1fb7206b8","Institute of Buddhist Studies, Graduate Theological Union, United States","","English"
"2005","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079578921&doi=10.4324%2f9780203985458-15&partnerID=40&md5=e486a939881d9b9480d94ba37e4f8a27","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122701056&doi=10.1111%2f1467-9809.12832&partnerID=40&md5=4681273ed67b3cff507fbbcbe43c7a8f","","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106472879&doi=10.4324%2f9781315573632-5&partnerID=40&md5=5882b411ee40d15f1a3bff4959db1a17","Aoyama Gakuin University, Japan","","English"
"1933","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958735371&doi=10.1017%2fS0041977X00105440&partnerID=40&md5=bf98add20e191cbf93d29e1bbab8529f","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145559016&partnerID=40&md5=34fe93c73f7e2b0e4e7c53ef0ebf1576","Department of Japanese Language and Literature, Sejong University, Seoul, South Korea; Division of Japanese Language, Literature and Culture, Hankuk University of Foreign Studies, Seoul, South Korea","Ministry of Education, MOE; National Research Foundation of Korea, NRF, (NRF-2021S1A5A8065567)","English"
"1998","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040581335&doi=10.1177%2f003776898045004007&partnerID=40&md5=ae8d7b19426bb226db2c6c73f6711472","","","English"
"2006","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60949623031&partnerID=40&md5=face5d5095f38c5fa49c162946ca1971","","","English"
"2010","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551511715&partnerID=40&md5=7c25c208b58e2422468aa3e0be8dfbe2","Columbia University","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145716634&doi=10.1057%2f978-1-137-59698-7_13&partnerID=40&md5=8c4141d0d9ec8ef73addc239f73988d1","Faculty of the Humanities, J. F. Oberlin University, Yokohama, Japan","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107251092&doi=10.4324%2f9781315758534-19&partnerID=40&md5=4d5b850329bb5288db5737d76a17db7a","","","English"
"1976","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976969137&doi=10.1177%2f000842987600600102&partnerID=40&md5=3b47bb2ce5fb78375f9657641c2a729f","","","English"
"2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874062671&doi=10.1163%2f221183412X649629&partnerID=40&md5=e21628b43eb2381feadad59ba31fa721","University of Leipzig, Leipzig, Germany","","English"
"2014","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893796686&doi=10.1080%2f10357823.2013.872080&partnerID=40&md5=9f68cccfafa0609b7cb2ffd0f1928760","The University of Tokyo, Japan","","English"
"2010","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955481513&partnerID=40&md5=5a2a733b95864e3a165532748525af38","Kanagawa University, Department of Foreign Languages, Japan","","English"
"1989","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973719661&doi=10.1177%2f092137408900200402&partnerID=40&md5=d39677a8517815aceae13c7b393233af","Ben Gurion University, Israel","","English"
"1996","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60950681601&doi=10.1080%2f09555809608721568&partnerID=40&md5=1ea494dfb248b1c0536e0445b7f9e501","Japanese Studies Centre, Cardiff Business School, University of Wales College, Cardiff, United Kingdom","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132354487&doi=10.1177%2f00405736221091919&partnerID=40&md5=5b37e6aac72d0cc3ff7f8a372f136ecb","Department of General Studies, Handong University, Gyeongbuk, Pohang, South Korea","","English"
"2008","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60949698217&doi=10.18874%2fjjrs.35.1.2008.13-38&partnerID=40&md5=831c4b9b14e2fbf7d13ea198bca09ce1","","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893299814&partnerID=40&md5=76de769261d1e6990969387dbee6710a","Department of Philosophy and Department of Religion, Nanjing University, China","","Chinese"
"1976","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958408708&doi=10.1093%2fjaarel%2fXLIV.3.547&partnerID=40&md5=69173d74adb3295889838e5e23150b59","Department of Religious Studies, University of California, Santa Barbara, United States","","English"
"2005","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60949589654&partnerID=40&md5=d4f3977eaf95180aefa3e02de98a8fb8","","","English"
"2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049740666&doi=10.18874%2fjjrs.45.1.2018.145-173&partnerID=40&md5=75ac7b034a0130d2ca6a24287f20e833","Faculty of Humanities, Kyushu University, Japan","University of California, Los Angeles, UCLA; Johns Hopkins University, JHU; Japan Society for the Promotion of Science, JSPS, (19K20777); Japan Foundation","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011026238&doi=10.1440%2f85168&partnerID=40&md5=41f59f79bb32364fd7d9125b59b8375d","Nagoya University, Graduate School of Law, Furo-cho, Chikusa-ku, Nagoya, Japan","","Italian"
"2009","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68649112336&doi=10.18874%2fjjrs.36.1.2009.93-124&partnerID=40&md5=33e8754e29e1e6c51441a93e3f5fa5cb","Graduate School of Humanities, Sociology Department, University of Tokyo, Japan","","English"
"1965","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963070019&doi=10.1093%2fjcs%2f7.3.374&partnerID=40&md5=7c5c35187de34d4531cf5e3af6f05476","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135930526&doi=10.3390%2frel13070582&partnerID=40&md5=ef32c1c2a1b900c54ce1a0301d5dc3f0","Department of Religious Studies, University of California Santa Barbara, Santa Barbara, 93106-3130, CA, United States","","English"
"1990","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963102859&doi=10.1093%2fjcs%2f32.3.527&partnerID=40&md5=fe2dc789ed6f47b7d8f4dbe538a6ae39","Memphis State University, United States","Center for Far Eastern Studies, The University of Chicago; Memphis State University; Center for the Humanities, Wesleyan University","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140583528&doi=10.3390%2frel13100894&partnerID=40&md5=db763d7ae1b4c599a4e55449be3796e0","Department of Religion, Columbia University, 1140 Amsterdam Ave. 407 Kent Hall, MC 3907, New York, 10027, NY, United States; Department of East Asian Languages and Cultures, Columbia University, 1140 Amsterdam Ave. 407 Kent Hall, MC 3907, New York, 10027, NY, United States; Graduate School of Humanities and Social Sciences, Faculty of International Studies, Nagoya City University, 1 Yamanohata, Mizuho-chō, Nagoya, 467-8501, Japan","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057383491&doi=10.1163%2f9789004322134_018&partnerID=40&md5=8036c3396b82387920d701c48962dc91","University of Hannover, Germany","","English"
"2009","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990841083&partnerID=40&md5=0e81eac62a788b79ae2ce832c13d1d33","Nanzan Institute for Religion and Culture, Nanzan University, Nagoya, Japan","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143147132&doi=10.5109%2f4843125&partnerID=40&md5=02b098a2dc97ed90faa52ef8d4c00030","Nagoya University, Japan","Japan Society for the Promotion of Science, KAKEN, (JP15K03011, JP16H01963, JP19K01171)","English"
"2015","25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018591540&partnerID=40&md5=d9bf2de9dca5bb5937d6919b7e541c9c","","","English"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923434077&doi=10.1017%2fCBO9780511979651.012&partnerID=40&md5=e5e9bcf71c18345d11f5f36d29921f9c","Graduate School of Integrated Arts and Sciences, Graduate School of Integrated Arts and Sciences, Hiroshima University, Japan","","English"
"2017","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036500564&partnerID=40&md5=77a4874b97e1f9d0354e6c035690d434","","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078842666&doi=10.18874%2fjjrs.46.2.2019.247-275&partnerID=40&md5=ec1c6cb4ba7c5b3afad7ac984366e132","University of Iowa, United States","University of Iowa Center for Asian and Pacific Studies","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939643519&doi=10.1163%2f22118349-00302001&partnerID=40&md5=3ea0d417030bd5631c9bf2e5ca2c5dce","Institute of Buddhist Studies, Berkeley, CA, United States; University of Leipzig, Leipzig, Germany","","English"
